Setting,seed,init,cp_err,ARI
pwconst2,0,best_model,0.0176,0.9199693343555215
pwconst2,1,best_model,0.016,0.8432209038794828
pwconst2,2,best_model,0.0968,0.4518577706751898
pwconst2,3,best_model,0.0272,0.9199693343555215
pwconst2,4,best_model,0.0268,0.8432209038794828
pwconst2,5,best_model,0.064,0.6328059950041632
pwconst2,6,best_model,0.0776,0.5087760199833472
pwconst2,7,best_model,0.04680000000000001,0.8432209038794828
pwconst2,8,best_model,0.0504,0.6325122495916803
pwconst2,9,best_model,0.028000000000000004,0.9199693343555215
pwconst2,10,best_model,0.027200000000000002,0.9199693343555215
pwconst2,11,best_model,0.024000000000000004,0.7697076764107863
pwconst2,12,best_model,0.055200000000000006,0.7697690692792163
pwconst2,13,best_model,0.0252,0.8432209038794828
pwconst2,14,best_model,0.01,1.0
pwconst2,15,best_model,0.06,0.6328059950041632
pwconst2,16,best_model,0.01,1.0
pwconst2,17,best_model,0.026000000000000002,0.8432
pwconst2,18,best_model,0.01,1.0
pwconst2,19,best_model,0.036000000000000004,0.8432
smooth,0,best_model,0.0176,0.9199693343555215
smooth,1,best_model,0.016,0.8432209038794828
smooth,2,best_model,0.0968,0.4518577706751898
smooth,3,best_model,0.0272,0.9199693343555215
smooth,4,best_model,0.0268,0.8432209038794828
smooth,5,best_model,0.064,0.6328059950041632
smooth,6,best_model,0.0776,0.5087760199833472
smooth,7,best_model,0.04680000000000001,0.8432209038794828
smooth,8,best_model,0.0504,0.6325122495916803
smooth,9,best_model,0.028000000000000004,0.9199693343555215
smooth,10,best_model,0.027200000000000002,0.9199693343555215
smooth,11,best_model,0.024000000000000004,0.7697076764107863
smooth,12,best_model,0.055200000000000006,0.7697690692792163
smooth,13,best_model,0.0252,0.8432209038794828
smooth,14,best_model,0.01,1.0
smooth,15,best_model,0.06,0.6328059950041632
smooth,16,best_model,0.01,1.0
smooth,17,best_model,0.026000000000000002,0.8432
smooth,18,best_model,0.01,1.0
smooth,19,best_model,0.036000000000000004,0.8432
