Setting,seed,init,Average Value,Discounted Value
pwconst2,0,proposed,0.5341981546423328,5.182394581166738
pwconst2,1,proposed,0.706417027204039,7.065842002129763
pwconst2,2,proposed,0.575437446321543,7.25072564536838
pwconst2,3,proposed,0.415979872062647,5.862275391209314
pwconst2,4,proposed,0.4118980347168428,6.990455892064812
pwconst2,5,proposed,0.5260010044824063,5.468138541909802
pwconst2,6,proposed,0.3237792824972647,5.324373138130535
pwconst2,7,proposed,0.6714043172209669,7.314454891133985
pwconst2,8,proposed,0.5527097671401257,5.932681595856746
pwconst2,9,proposed,0.613665793549979,6.62224671433026
pwconst2,10,proposed,0.3893034681311104,5.158650333204268
pwconst2,11,proposed,0.43682798096593844,7.0956850174023485
pwconst2,12,proposed,0.5307907183388534,5.748178229405585
pwconst2,13,proposed,0.465889562137559,5.617405727289763
pwconst2,14,proposed,0.5000093049662067,6.722534962950358
pwconst2,15,proposed,0.49212945058590546,5.554226286378873
pwconst2,16,proposed,0.652058584577243,7.313104787335544
pwconst2,17,proposed,0.6049898690748738,6.84567908346097
pwconst2,18,proposed,0.438307406114176,8.808298266725622
pwconst2,19,proposed,0.9080294636768459,6.409422022870945
pwconst2,0,oracle,0.43776745077272045,6.332391753137461
pwconst2,1,oracle,0.6999736540070425,6.606758262873577
pwconst2,2,oracle,0.5398149933757656,6.710878993685771
pwconst2,3,oracle,0.5126630552916243,5.956360731737916
pwconst2,4,oracle,0.43615966363302544,7.153561683802504
pwconst2,5,oracle,0.7626507329031074,6.862800761805098
pwconst2,6,oracle,0.2778987278224457,5.666504676739571
pwconst2,7,oracle,0.8437762682689185,7.442390288298139
pwconst2,8,oracle,0.744825238544324,6.48573527874006
pwconst2,9,oracle,0.8069491650930395,6.121650467629938
pwconst2,10,oracle,0.5008865246363651,6.10307088411892
pwconst2,11,oracle,0.49128133603864815,5.990575049054067
pwconst2,12,oracle,0.46660403161122,5.730540575911765
pwconst2,13,oracle,0.526800527739267,5.620177843527297
pwconst2,14,oracle,0.5178460628757862,6.73740425148821
pwconst2,15,oracle,0.5317590734142913,5.7830250803802645
pwconst2,16,oracle,0.6868726027798328,6.4150692284689805
pwconst2,17,oracle,0.7882777002371071,6.8799554696137735
pwconst2,18,oracle,0.42229538127177996,7.2058378729449934
pwconst2,19,oracle,0.9585417184336552,7.607191804892434
pwconst2,0,only_cp,0.6252788917898789,6.089203791576372
pwconst2,1,only_cp,0.5559920432032501,6.097718749095079
pwconst2,2,only_cp,0.5170263401859733,6.585886900888038
pwconst2,3,only_cp,0.4656292886393371,5.527558425639386
pwconst2,4,only_cp,0.38194779542431634,6.096916199961814
pwconst2,5,only_cp,0.5481015419252231,6.269900227361169
pwconst2,6,only_cp,0.39811876668242846,6.289395607177206
pwconst2,7,only_cp,0.7686229751267847,6.2090617813714
pwconst2,8,only_cp,0.5682467395220189,5.645731455694467
pwconst2,9,only_cp,0.6529104349449528,4.778818133718612
pwconst2,10,only_cp,0.33632343840221157,6.836554626613943
pwconst2,11,only_cp,0.28451331100249133,5.925386503225725
pwconst2,12,only_cp,0.29472013054099877,6.049536909099317
pwconst2,13,only_cp,0.37808639263093113,5.183878404787951
pwconst2,14,only_cp,0.4209341713676253,5.746595122940394
pwconst2,15,only_cp,0.44254832225679963,6.745909312282932
pwconst2,16,only_cp,0.5868588306376948,5.334161442146474
pwconst2,17,only_cp,0.6427602661741846,5.56123638339543
pwconst2,18,only_cp,0.2927120300102918,4.91988266629217
pwconst2,19,only_cp,0.7329918137791397,6.677777402850113
pwconst2,0,only_clusters,0.7267983905519497,7.0408896305767374
pwconst2,1,only_clusters,0.74942047164547,6.634685277555601
pwconst2,2,only_clusters,0.7189617349172804,7.553331779261854
pwconst2,3,only_clusters,0.5573876062937777,5.753101816093465
pwconst2,4,only_clusters,0.5624131774638024,5.2786263881365505
pwconst2,5,only_clusters,0.7813070940321721,6.794294347226784
pwconst2,6,only_clusters,0.4062930326261186,5.722428953320864
pwconst2,7,only_clusters,0.9096720863223104,7.493670178782593
pwconst2,8,only_clusters,0.7964958339278133,6.34241825196228
pwconst2,9,only_clusters,0.8630711604327497,6.4454621440732724
pwconst2,10,only_clusters,0.5412257419646964,8.379090578161076
pwconst2,11,only_clusters,0.45454502892039617,5.47729891225526
pwconst2,12,only_clusters,0.5989259076931649,6.225342140471882
pwconst2,13,only_clusters,0.6583153715282081,7.132458806550137
pwconst2,14,only_clusters,0.6296214827376441,7.0823596883791025
pwconst2,15,only_clusters,0.6250804963312627,4.548244621699577
pwconst2,16,only_clusters,0.7516103209846239,7.247806027557304
pwconst2,17,only_clusters,0.8939069859042871,6.4673614304682845
pwconst2,18,only_clusters,0.5533120171912734,8.51908818753181
pwconst2,19,only_clusters,0.9216965262361286,4.807638789831645
pwconst2,0,overall,0.7267983905519497,7.0408896305767374
pwconst2,1,overall,0.74942047164547,6.634685277555601
pwconst2,2,overall,0.7189617349172804,7.553331779261854
pwconst2,3,overall,0.5573876062937777,5.753101816093465
pwconst2,4,overall,0.5624131774638024,5.2786263881365505
pwconst2,5,overall,0.7813070940321721,6.794294347226784
pwconst2,6,overall,0.4062930326261186,5.722428953320864
pwconst2,7,overall,0.9096720863223104,7.493670178782593
pwconst2,8,overall,0.7964958339278133,6.34241825196228
pwconst2,9,overall,0.8630711604327497,6.4454621440732724
pwconst2,10,overall,0.5412257419646964,8.379090578161076
pwconst2,11,overall,0.45454502892039617,5.47729891225526
pwconst2,12,overall,0.5989259076931649,6.225342140471882
pwconst2,13,overall,0.6583153715282081,7.132458806550137
pwconst2,14,overall,0.6296214827376441,7.0823596883791025
pwconst2,15,overall,0.6250804963312627,4.548244621699577
pwconst2,16,overall,0.7516103209846239,7.247806027557304
pwconst2,17,overall,0.8939069859042871,6.4673614304682845
pwconst2,18,overall,0.5533120171912734,8.51908818753181
pwconst2,19,overall,0.9216965262361286,4.807638789831645
smooth,0,proposed,0.5020754516256953,7.3084802702077045
smooth,1,proposed,0.6876656750056845,6.827855526774069
smooth,2,proposed,0.40802624507090207,7.262463085996098
smooth,3,proposed,0.46436510145932125,6.2508905643127495
smooth,4,proposed,0.4349728054065371,6.225648306883675
smooth,5,proposed,0.6340734139743147,6.941967947469214
smooth,6,proposed,0.3216169378456423,5.6045397485241715
smooth,7,proposed,0.8044705774056387,6.783421993150641
smooth,8,proposed,0.5470802198664105,6.404664582954584
smooth,9,proposed,0.7242959694182773,6.858983619309422
smooth,10,proposed,0.43707759954908587,5.103174590947061
smooth,11,proposed,0.4314595608639364,7.412015631274516
smooth,12,proposed,0.5113749224385422,6.461143385960965
