Size of Change,Seed,K_best,Change Point Error,ARI,# Iterations
strong,1,4,0.008717948717948718,0.9801288936627283,10
strong,2,3,0.0,1.0,3
strong,3,4,0.008205128205128205,0.9616683933156164,7
strong,4,2,0.21794871794871795,0.5647058823529412,4
strong,5,6,0.0,0.7200390529655846,5
strong,6,4,0.0,0.9801288936627283,5
strong,7,3,0.0,1.0,5
strong,8,4,0.0,0.8674822084748128,4
strong,9,4,0.0,0.8924865089248651,4
strong,10,4,0.003076923076923077,0.939576295832308,4
strong,11,2,0.21794871794871795,0.5647058823529412,5
strong,12,2,0.21794871794871795,0.5647058823529412,5
strong,13,3,0.0,1.0,3
strong,14,4,0.0041025641025641026,0.9801288936627283,12
strong,15,4,0.0005128205128205128,0.9801288936627283,3
strong,16,3,0.0,1.0,3
strong,17,2,0.21794871794871795,0.5647058823529412,3
strong,18,4,0.0,0.9446785374473291,4
strong,19,4,0.0,0.9801288936627283,6
strong,20,5,0.003076923076923077,0.9083402146985962,15
strong,21,3,0.0,1.0,3
strong,22,4,0.0,0.9446785374473291,3
strong,23,3,0.0,1.0,6
strong,24,3,0.0,1.0,4
strong,25,5,0.0041025641025641026,0.9429685374920663,6
strong,26,5,0.0,0.823618256478029,8
strong,27,4,0.0,0.8836047372316802,7
strong,28,2,0.21794871794871795,0.5647058823529412,3
strong,29,3,0.0,1.0,3
strong,30,3,0.0,1.0,3
moderate,1,6,0.18205128205128204,0.6171592653101639,15
moderate,2,6,0.21794871794871795,0.7777777777777778,8
moderate,3,3,0.11487179487179489,0.8104499789314941,4
moderate,4,6,0.12307692307692308,0.7868140171908945,15
moderate,5,5,0.17743589743589744,0.7421848899918866,8
moderate,6,4,0.19025641025641027,0.9030745898249001,8
moderate,7,3,0.10358974358974359,0.9597227467620465,4
moderate,8,4,0.06102564102564102,0.8667935517897681,7
moderate,9,4,0.10153846153846155,0.8426187063664524,14
moderate,10,4,0.21794871794871795,0.8656799776598716,4
moderate,11,5,0.07794871794871795,0.7571614737590333,15
moderate,12,3,0.10153846153846155,0.9597227467620465,15
moderate,13,5,0.21794871794871795,0.735829812035553,4
moderate,14,3,0.10358974358974359,0.9597227467620465,6
moderate,15,5,0.18666666666666668,0.7273608687221252,15
moderate,16,3,0.10358974358974359,0.9597227467620465,4
moderate,17,6,0.2235897435897436,0.658483896307934,9
moderate,18,4,0.10871794871794871,0.7169169736469255,6
moderate,19,6,0.1671794871794872,0.4936323892796046,15
moderate,20,4,0.15897435897435896,0.8332671787807326,15
moderate,21,4,0.08205128205128205,0.8425171624713959,15
moderate,22,4,0.15692307692307694,0.8924865089248651,4
moderate,23,6,0.18974358974358974,0.5532769396822209,7
moderate,24,4,0.22923076923076924,0.817038110352124,3
moderate,25,5,0.14410256410256408,0.8467173785839672,15
moderate,26,5,0.12,0.8057972385095518,8
moderate,27,6,0.2123076923076923,0.6849148418491484,15
moderate,28,6,0.1671794871794872,0.6191068231549632,15
moderate,29,4,0.10256410256410256,0.8764607679465777,5
moderate,30,4,0.15333333333333332,0.8674822084748128,4
weak,1,6,0.3589743589743589,0.1008780886256892,2
weak,2,6,0.34820512820512817,0.03537470606277477,2
weak,3,6,0.3589743589743589,0.09079078312791855,2
weak,4,6,0.3589743589743589,0.07632223810496222,2
weak,5,6,0.3589743589743589,0.0880050664977834,3
weak,6,6,0.3589743589743589,0.10621669626998224,2
weak,7,5,0.3589743589743589,0.1701312910284464,3
weak,8,5,0.3589743589743589,0.20771073624935169,2
weak,9,6,0.3589743589743589,0.05113694299989803,2
weak,10,6,0.3589743589743589,0.19453789827825055,2
weak,11,6,0.3589743589743589,0.08822405137483755,2
weak,12,6,0.3589743589743589,0.14102596773782525,2
weak,13,6,0.3589743589743589,0.10406130268199233,2
weak,14,6,0.3589743589743589,0.17986183589284827,2
weak,15,5,0.3589743589743589,0.16406423993467126,2
weak,16,5,0.3589743589743589,0.1711575983600484,2
weak,17,5,0.3589743589743589,0.02060170855515662,2
weak,18,6,0.3589743589743589,0.1055738041469924,2
weak,19,6,0.3589743589743589,0.09719663899472634,2
weak,20,6,0.3589743589743589,0.09797782796140422,2
weak,21,5,0.3589743589743589,0.16945026050542922,2
weak,22,6,0.3589743589743589,0.11742424242424243,2
weak,23,5,0.3589743589743589,0.08894932014833128,2
weak,24,6,0.3589743589743589,0.13521271143003588,2
weak,25,6,0.3589743589743589,0.08815076680485262,2
weak,26,6,0.3589743589743589,0.13566104747136212,2
weak,27,5,0.3589743589743589,0.1493201483312732,2
weak,28,6,0.3589743589743589,0.06177097068668222,2
weak,29,4,0.3589743589743589,0.1663014481707317,2
weak,30,6,0.3589743589743589,0.08502772643253234,2
