Size of Change,Seed,Method,Cluster,Value
strong,2,Proposed,0,316.67473819659926
strong,2,Proposed,1,235.98751168672723
strong,2,Proposed,2,359.3840855910418
strong,4,Proposed,0,319.05557208969384
strong,4,Proposed,1,242.10211969114206
strong,4,Proposed,2,198.8004521327286
strong,5,Proposed,0,317.946586480689
strong,5,Proposed,1,244.26652938309053
strong,5,Proposed,2,359.0095844210856
strong,6,Proposed,0,317.6899263555741
strong,6,Proposed,1,233.966156861157
strong,6,Proposed,2,360.0767629870026
strong,7,Proposed,0,317.3226756981383
strong,7,Proposed,1,236.59521950238127
strong,7,Proposed,2,361.9318918417432
strong,8,Proposed,0,318.0909540888132
strong,8,Proposed,1,234.60771499528948
strong,8,Proposed,2,359.9155784525319
strong,9,Proposed,0,318.19237005419086
strong,9,Proposed,1,243.18068123078928
strong,9,Proposed,2,359.30083555774223
strong,11,Proposed,0,317.3128000485173
strong,11,Proposed,1,238.4713974201615
strong,11,Proposed,2,199.82241733650065
strong,12,Proposed,0,316.76178611646463
strong,12,Proposed,1,239.87120209146423
strong,12,Proposed,2,200.36839912130708
strong,13,Proposed,0,317.02724500508816
strong,13,Proposed,1,240.00530393575602
strong,13,Proposed,2,358.81023734367744
strong,16,Proposed,0,317.1031193143792
strong,16,Proposed,1,243.18265095788658
strong,16,Proposed,2,359.4658137183012
strong,17,Proposed,0,317.84502114566413
strong,17,Proposed,1,238.0274571873878
strong,17,Proposed,2,200.41365609549717
strong,18,Proposed,0,318.6047443821308
strong,18,Proposed,1,250.19258170469186
strong,18,Proposed,2,361.35312920794155
strong,19,Proposed,0,317.66423352471634
strong,19,Proposed,1,244.52321914534645
strong,19,Proposed,2,360.16636354508273
strong,21,Proposed,0,317.48888455303074
strong,21,Proposed,1,234.58888495631123
strong,21,Proposed,2,360.11751546374137
strong,22,Proposed,0,317.5409422038569
strong,22,Proposed,1,397.6217159599323
strong,22,Proposed,2,359.95576083415136
strong,23,Proposed,0,317.6266171439962
strong,23,Proposed,1,234.4972845140062
strong,23,Proposed,2,360.81177047862764
strong,24,Proposed,0,317.9491740381151
strong,24,Proposed,1,236.86345365827597
strong,24,Proposed,2,360.0105901932465
strong,26,Proposed,0,318.10219956166753
strong,26,Proposed,1,235.2750432477391
strong,26,Proposed,2,360.63585145366
strong,27,Proposed,0,317.4733850831389
strong,27,Proposed,1,232.51055186550226
strong,27,Proposed,2,359.7570369501922
strong,28,Proposed,0,316.61345285122786
strong,28,Proposed,1,237.75961108942326
strong,28,Proposed,2,199.36978011044823
strong,29,Proposed,0,318.3277209505604
strong,29,Proposed,1,250.73009394100401
strong,29,Proposed,2,358.39606655686805
strong,30,Proposed,0,318.09571568953544
strong,30,Proposed,1,238.6219289830311
strong,30,Proposed,2,360.7140400533497
strong,1,Oracle,0,316.8362441363426
strong,1,Oracle,1,239.53399508131238
strong,1,Oracle,2,360.47552898965046
strong,2,Oracle,0,316.67473819659926
