Setting,seed,init,Average Value,Discounted Value
pwconst2,0,proposed,0.04374225066892018,3.356046344371937
pwconst2,1,proposed,0.17281569675202815,3.426691285393661
pwconst2,2,proposed,0.1907752006593207,3.559284814070949
pwconst2,3,proposed,0.11888654486888192,2.1469877085791453
pwconst2,4,proposed,0.12564019334172313,4.047287957044265
pwconst2,5,proposed,0.12657013312062115,2.7256240527747497
pwconst2,6,proposed,0.17290343139922879,3.0168646728401667
pwconst2,7,proposed,0.1761895549732183,2.4201053236894037
pwconst2,8,proposed,0.15186025749243254,3.109242339250137
pwconst2,9,proposed,0.17373222363808818,3.447894442210556
pwconst2,10,proposed,0.18509716574132207,3.7969874004591024
pwconst2,11,proposed,0.29570572499109543,3.1071006332240034
pwconst2,12,proposed,0.09410989630632478,3.871602902755095
pwconst2,13,proposed,0.13876647885044324,4.163023866871269
pwconst2,14,proposed,0.16859572747460125,4.289905355722952
pwconst2,15,proposed,0.16678334555383145,3.4685888077098768
pwconst2,16,proposed,0.11964527186526941,2.9330522288221004
pwconst2,17,proposed,0.1439110039964089,2.7359742315101987
pwconst2,18,proposed,0.23255554392904765,3.0446334480867483
pwconst2,19,proposed,0.2645406994766753,3.4376516918807125
